,area_type,availability,location,total_sqft,bath,balcony,price,BHK
30,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,1500.0,3.0,2.0,230.0,4
31,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,600.0,3.0,1.0,84.0,4
32,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,600.0,3.0,2.0,82.0,4
34,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,1200.0,4.0,2.0,240.0,5
35,Super built-up  Area,Ready To Move,5th Phase JP Nagar,1075.0,2.0,2.0,60.0,2
36,Built-up  Area,Ready To Move,5th Phase JP Nagar,1150.0,3.0,3.0,52.5,2
37,Super built-up  Area,Not Ready to Move Yet,5th Phase JP Nagar,1070.0,2.0,2.0,39.0,2
38,Built-up  Area,Ready To Move,5th Phase JP Nagar,1256.0,2.0,1.0,62.8,2
39,Super built-up  Area,Ready To Move,5th Phase JP Nagar,1207.0,2.0,2.0,63.0,2
40,Built-up  Area,Ready To Move,5th Phase JP Nagar,1725.0,2.0,2.0,100.0,3
41,Super built-up  Area,Ready To Move,5th Phase JP Nagar,1440.0,2.0,2.0,60.0,2
42,Super built-up  Area,Ready To Move,5th Phase JP Nagar,1400.0,2.0,1.0,88.0,3
43,Super built-up  Area,Ready To Move,5th Phase JP Nagar,1450.0,2.0,1.0,58.0,2
44,Built-up  Area,Ready To Move,5th Phase JP Nagar,1700.0,2.0,3.0,100.0,3
46,Built-up  Area,Ready To Move,5th Phase JP Nagar,600.0,1.0,1.0,30.0,1
47,Super built-up  Area,Ready To Move,5th Phase JP Nagar,1390.0,2.0,2.0,65.0,2
48,Built-up  Area,Ready To Move,5th Phase JP Nagar,1256.0,2.0,1.0,62.8,2
49,Super built-up  Area,Ready To Move,5th Phase JP Nagar,1220.0,2.0,3.0,88.0,2
50,Super built-up  Area,Ready To Move,5th Phase JP Nagar,1000.0,2.0,0.0,48.0,2
51,Super built-up  Area,Ready To Move,5th Phase JP Nagar,1350.0,2.0,1.0,75.0,3
52,Super built-up  Area,Ready To Move,5th Phase JP Nagar,552.0,1.0,1.0,23.5,1
53,Super built-up  Area,Ready To Move,5th Phase JP Nagar,1200.0,2.0,2.0,51.0,2
57,Built-up  Area,Ready To Move,5th Phase JP Nagar,1030.0,2.0,2.0,57.0,2
58,Super built-up  Area,Ready To Move,5th Phase JP Nagar,1200.0,2.0,1.0,68.0,2
59,Built-up  Area,Ready To Move,5th Phase JP Nagar,1190.0,2.0,2.0,61.8,2
60,Super built-up  Area,Ready To Move,5th Phase JP Nagar,4000.0,5.0,2.0,170.0,5
61,Super built-up  Area,Ready To Move,5th Phase JP Nagar,1080.0,2.0,1.0,53.0,2
62,Super built-up  Area,Ready To Move,5th Phase JP Nagar,1041.0,2.0,2.0,54.0,2
63,Super built-up  Area,Ready To Move,5th Phase JP Nagar,812.0,2.0,1.0,42.0,2
64,Built-up  Area,Ready To Move,5th Phase JP Nagar,1010.0,2.0,2.0,57.0,2
66,Super built-up  Area,Ready To Move,5th Phase JP Nagar,2500.0,8.0,3.0,95.0,7
67,Super built-up  Area,Ready To Move,5th Phase JP Nagar,1075.0,2.0,2.0,60.0,2
68,Plot  Area,Ready To Move,5th Phase JP Nagar,2400.0,4.0,1.0,228.0,4
69,Super built-up  Area,Ready To Move,6th Phase JP Nagar,1192.0,2.0,2.0,74.0,2
70,Super built-up  Area,Ready To Move,6th Phase JP Nagar,1180.0,2.0,3.0,80.0,2
72,Built-up  Area,Ready To Move,6th Phase JP Nagar,1140.0,2.0,2.0,65.0,2
73,Plot  Area,Ready To Move,6th Phase JP Nagar,1650.0,6.0,2.0,135.0,8
74,Built-up  Area,Ready To Move,6th Phase JP Nagar,600.0,1.0,1.0,75.0,1
75,Super built-up  Area,Ready To Move,6th Phase JP Nagar,1213.0,2.0,1.0,63.0,2
76,Super built-up  Area,Ready To Move,6th Phase JP Nagar,1170.0,2.0,2.0,120.0,2
77,Built-up  Area,Ready To Move,6th Phase JP Nagar,1216.0,2.0,2.0,60.0,2
78,Super built-up  Area,Ready To Move,6th Phase JP Nagar,2003.0,3.0,3.0,200.0,3
79,Super built-up  Area,Ready To Move,6th Phase JP Nagar,1810.0,3.0,3.0,131.0,3
80,Super built-up  Area,Ready To Move,6th Phase JP Nagar,1515.0,2.0,2.0,135.0,3
81,Super built-up  Area,Ready To Move,6th Phase JP Nagar,1192.0,2.0,3.0,75.0,2
82,Super built-up  Area,Ready To Move,6th Phase JP Nagar,1280.0,2.0,1.0,88.0,2
83,Built-up  Area,Ready To Move,7th Phase JP Nagar,1080.0,2.0,2.0,72.0,2
84,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1270.0,2.0,2.0,93.0,2
85,Built-up  Area,Ready To Move,7th Phase JP Nagar,1420.0,2.0,1.0,100.0,3
86,Built-up  Area,Ready To Move,7th Phase JP Nagar,1850.0,3.0,1.0,150.0,3
87,Built-up  Area,Ready To Move,7th Phase JP Nagar,1245.0,2.0,1.0,94.0,2
88,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1175.0,2.0,1.0,82.0,2
89,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1400.0,2.0,1.0,95.0,3
90,Super built-up  Area,Not Ready to Move Yet,7th Phase JP Nagar,2225.0,3.0,1.0,160.0,3
91,Built-up  Area,Ready To Move,7th Phase JP Nagar,1050.0,2.0,1.0,71.0,2
92,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1100.0,2.0,0.0,46.0,2
93,Built-up  Area,Ready To Move,7th Phase JP Nagar,918.0,2.0,1.0,50.49,2
94,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1450.0,2.0,1.0,100.0,3
95,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1190.0,2.0,1.0,49.98,2
96,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1420.0,2.0,2.0,96.0,3
97,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1680.0,3.0,2.0,120.0,3
98,Super built-up  Area,Ready To Move,7th Phase JP Nagar,980.0,2.0,2.0,69.0,2
99,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1370.0,2.0,1.0,56.17,2
100,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1180.0,2.0,2.0,72.0,2
104,Built-up  Area,Ready To Move,7th Phase JP Nagar,1400.0,3.0,1.0,115.0,3
105,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1270.0,2.0,1.0,83.0,2
107,Super built-up  Area,Not Ready to Move Yet,7th Phase JP Nagar,2503.0,4.0,0.0,188.0,4
108,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2200.0,3.0,2.0,190.0,3
111,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1575.0,2.0,2.0,110.0,3
112,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1850.0,3.0,2.0,140.0,3
113,Built-up  Area,Ready To Move,7th Phase JP Nagar,1575.0,2.0,2.0,120.0,3
114,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1850.0,3.0,2.0,150.0,3
115,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1680.0,3.0,2.0,120.0,3
116,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1175.0,2.0,2.0,82.5,2
119,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1215.0,2.0,2.0,90.0,2
120,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1050.0,2.0,1.0,75.0,2
121,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1300.0,3.0,2.0,89.13,3
122,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1130.0,2.0,2.0,73.0,2
123,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1450.0,3.0,2.0,100.0,3
125,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1050.0,2.0,1.0,50.0,2
126,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1275.0,2.0,1.0,87.0,2
128,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1650.0,3.0,2.0,110.0,3
129,Built-up  Area,Ready To Move,7th Phase JP Nagar,850.0,2.0,2.0,42.0,2
130,Built-up  Area,Ready To Move,7th Phase JP Nagar,1680.0,3.0,2.0,117.0,3
131,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1850.0,3.0,1.0,150.0,3
132,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1236.0,2.0,2.0,61.33,2
133,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1000.0,2.0,2.0,53.0,2
134,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1680.0,3.0,2.0,125.0,3
135,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1675.0,2.0,2.0,135.0,3
136,Super built-up  Area,Not Ready to Move Yet,7th Phase JP Nagar,1187.0,2.0,1.0,59.0,2
137,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1850.0,3.0,2.0,155.0,3
138,Built-up  Area,Ready To Move,7th Phase JP Nagar,1000.0,2.0,1.0,61.0,2
139,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1460.0,2.0,2.0,100.0,3
140,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1650.0,3.0,3.0,110.0,3
141,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1200.0,2.0,2.0,62.5,2
142,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1000.0,2.0,1.0,70.65,2
143,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1080.0,2.0,2.0,75.0,2
145,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1680.0,3.0,3.0,125.0,3
146,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1460.0,2.0,1.0,97.0,3
147,Built-up  Area,Ready To Move,7th Phase JP Nagar,1120.0,2.0,2.0,65.0,2
148,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1100.0,3.0,1.0,60.0,2
149,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1790.0,3.0,3.0,120.0,3
150,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1680.0,3.0,2.0,117.0,3
151,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1050.0,2.0,1.0,77.0,2
152,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1050.0,2.0,1.0,75.0,2
153,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1040.0,2.0,1.0,75.0,2
154,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1400.0,2.0,1.0,95.0,3
155,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1800.0,3.0,2.0,130.0,3
156,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1050.0,2.0,0.0,68.0,2
158,Built-up  Area,Ready To Move,7th Phase JP Nagar,1000.0,2.0,2.0,60.0,2
159,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1680.0,3.0,2.0,125.0,3
160,Super built-up  Area,Ready To Move,7th Phase JP Nagar,980.0,2.0,1.0,86.0,2
161,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1050.0,2.0,1.0,77.47,2
162,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1270.0,2.0,1.0,80.0,2
164,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1680.0,3.0,2.0,122.0,3
165,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1130.0,2.0,2.0,85.0,2
166,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1680.0,3.0,3.0,130.0,3
167,Built-up  Area,Ready To Move,7th Phase JP Nagar,2980.0,4.0,2.0,260.0,3
168,Built-up  Area,Ready To Move,7th Phase JP Nagar,980.0,2.0,1.0,77.44,2
169,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1680.0,3.0,2.0,112.0,3
171,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2095.0,3.0,2.0,150.0,3
172,Super built-up  Area,Not Ready to Move Yet,7th Phase JP Nagar,1976.0,3.0,1.0,145.0,3
173,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1600.0,2.0,2.0,110.0,3
174,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1765.0,3.0,2.0,118.0,3
175,Built-up  Area,Ready To Move,7th Phase JP Nagar,1275.0,2.0,2.0,88.0,3
176,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1450.0,2.0,1.0,102.0,3
177,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1575.0,2.0,2.0,110.0,3
179,Super built-up  Area,Ready To Move,7th Phase JP Nagar,750.0,1.0,2.0,47.0,1
180,Super built-up  Area,Ready To Move,7th Phase JP Nagar,990.0,2.0,2.0,50.0,2
181,Plot  Area,Ready To Move,7th Phase JP Nagar,1000.0,1.0,1.0,60.0,1
183,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1430.0,2.0,1.0,102.0,3
184,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1128.0,2.0,1.0,60.0,2
185,Built-up  Area,Ready To Move,7th Phase JP Nagar,1140.0,2.0,1.0,57.0,2
186,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1420.0,3.0,2.0,90.0,3
187,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1530.0,2.0,1.0,108.0,2
188,Super built-up  Area,Not Ready to Move Yet,8th Phase JP Nagar,1073.5,2.0,0.0,54.005,2
189,Super built-up  Area,Not Ready to Move Yet,8th Phase JP Nagar,451.0,1.0,0.0,29.9,1
191,Super built-up  Area,Ready To Move,8th Phase JP Nagar,1062.0,2.0,1.0,42.47,2
193,Super built-up  Area,Not Ready to Move Yet,8th Phase JP Nagar,1455.0,3.0,2.0,73.31,3
194,Super built-up  Area,Ready To Move,8th Phase JP Nagar,871.0,2.0,2.0,55.0,2
195,Super built-up  Area,Ready To Move,8th Phase JP Nagar,1098.0,2.0,1.0,43.91,2
196,Super built-up  Area,Ready To Move,8th Phase JP Nagar,1800.0,3.0,1.0,80.0,3
197,Built-up  Area,Ready To Move,8th Phase JP Nagar,2700.0,4.0,2.0,130.0,4
198,Super built-up  Area,Not Ready to Move Yet,8th Phase JP Nagar,1080.0,2.0,2.0,38.0,2
199,Super built-up  Area,Not Ready to Move Yet,8th Phase JP Nagar,1059.0,2.0,2.0,34.5,2
200,Super built-up  Area,Not Ready to Move Yet,8th Phase JP Nagar,1080.0,2.0,2.0,35.0,2
202,Super built-up  Area,Ready To Move,8th Phase JP Nagar,1062.0,2.0,1.0,42.47,2
203,Super built-up  Area,Not Ready to Move Yet,8th Phase JP Nagar,500.0,1.0,1.0,31.0,1
204,Super built-up  Area,Not Ready to Move Yet,8th Phase JP Nagar,1100.0,2.0,2.0,35.0,2
205,Super built-up  Area,Ready To Move,8th Phase JP Nagar,2100.0,4.0,3.0,92.0,4
206,Super built-up  Area,Ready To Move,8th Phase JP Nagar,1035.0,2.0,1.0,39.33,2
207,Super built-up  Area,Ready To Move,8th Phase JP Nagar,909.0,2.0,1.0,40.9,2
208,Super built-up  Area,Not Ready to Move Yet,8th Phase JP Nagar,1431.5,3.0,0.0,72.02,3
209,Built-up  Area,Ready To Move,8th Phase JP Nagar,1900.0,4.0,1.0,90.0,3
210,Super built-up  Area,Not Ready to Move Yet,8th Phase JP Nagar,500.0,1.0,1.0,30.0,1
211,Super built-up  Area,Not Ready to Move Yet,8th Phase JP Nagar,1125.0,2.0,2.0,36.94,2
212,Super built-up  Area,Ready To Move,8th Phase JP Nagar,1200.0,3.0,2.0,110.0,4
213,Super built-up  Area,Ready To Move,8th Phase JP Nagar,1100.0,2.0,3.0,35.0,2
214,Super built-up  Area,Ready To Move,8th Phase JP Nagar,1089.0,2.0,1.0,43.55,2
216,Super built-up  Area,Ready To Move,8th Phase JP Nagar,1504.0,2.0,2.0,83.0,3
217,Built-up  Area,Ready To Move,8th Phase JP Nagar,2600.0,4.0,2.0,115.0,4
219,Super built-up  Area,Ready To Move,8th Phase JP Nagar,1089.0,2.0,1.0,43.55,2
221,Super built-up  Area,Ready To Move,8th Phase JP Nagar,1513.0,2.0,3.0,62.0,2
222,Built-up  Area,Ready To Move,8th Phase JP Nagar,1298.0,2.0,1.0,59.0,2
223,Built-up  Area,Ready To Move,8th Phase JP Nagar,1006.0,2.0,0.0,44.0,2
224,Carpet  Area,Not Ready to Move Yet,8th Phase JP Nagar,500.0,1.0,1.0,33.0,1
225,Super built-up  Area,Ready To Move,8th Phase JP Nagar,1160.0,2.0,1.0,95.0,2
226,Super built-up  Area,Not Ready to Move Yet,8th Phase JP Nagar,1245.0,2.0,1.0,59.0,2
227,Super built-up  Area,Ready To Move,8th Phase JP Nagar,1510.0,2.0,3.0,80.0,2
228,Super built-up  Area,Ready To Move,8th Phase JP Nagar,3300.0,3.0,2.0,165.0,3
229,Built-up  Area,Ready To Move,8th Phase JP Nagar,1730.0,5.0,2.0,75.0,5
232,Super built-up  Area,Not Ready to Move Yet,8th Phase JP Nagar,1046.0,2.0,1.0,48.0,2
234,Super built-up  Area,Not Ready to Move Yet,8th Phase JP Nagar,1408.0,3.0,2.0,80.0,3
236,Super built-up  Area,Ready To Move,9th Phase JP Nagar,1005.0,2.0,1.0,50.0,2
238,Super built-up  Area,Not Ready to Move Yet,9th Phase JP Nagar,1100.0,2.0,1.0,65.0,2
239,Super built-up  Area,Not Ready to Move Yet,9th Phase JP Nagar,1080.0,2.0,2.0,37.0,2
240,Built-up  Area,Ready To Move,9th Phase JP Nagar,1035.0,2.0,1.0,45.0,2
241,Built-up  Area,Ready To Move,9th Phase JP Nagar,5000.0,4.0,3.0,290.0,4
242,Built-up  Area,Ready To Move,9th Phase JP Nagar,1164.0,2.0,1.0,56.0,2
243,Super built-up  Area,Ready To Move,9th Phase JP Nagar,1005.0,2.0,1.0,42.0,2
244,Super built-up  Area,Not Ready to Move Yet,9th Phase JP Nagar,1127.0,2.0,1.0,50.0,2
245,Super built-up  Area,Ready To Move,9th Phase JP Nagar,1005.0,2.0,1.0,43.0,2
246,Built-up  Area,Ready To Move,9th Phase JP Nagar,835.0,2.0,0.0,37.0,2
247,Super built-up  Area,Not Ready to Move Yet,9th Phase JP Nagar,1050.0,2.0,2.0,39.0,2
248,Super built-up  Area,Ready To Move,9th Phase JP Nagar,660.0,2.0,0.0,27.0,2
249,Built-up  Area,Ready To Move,9th Phase JP Nagar,600.0,1.0,0.0,20.0,1
250,Super built-up  Area,Not Ready to Move Yet,9th Phase JP Nagar,1466.0,2.0,2.0,71.0,2
251,Super built-up  Area,Not Ready to Move Yet,9th Phase JP Nagar,1079.0,2.0,1.0,60.0,2
252,Super built-up  Area,Not Ready to Move Yet,9th Phase JP Nagar,1480.0,2.0,1.0,80.0,2
253,Plot  Area,Ready To Move,9th Phase JP Nagar,1200.0,2.0,0.0,80.0,2
254,Super built-up  Area,Ready To Move,9th Phase JP Nagar,905.0,2.0,1.0,32.0,2
255,Super built-up  Area,Not Ready to Move Yet,9th Phase JP Nagar,1073.0,2.0,1.0,52.36,2
256,Super built-up  Area,Ready To Move,9th Phase JP Nagar,1719.3,2.0,2.0,88.0,3
257,Super built-up  Area,Not Ready to Move Yet,9th Phase JP Nagar,1780.0,3.0,2.0,88.0,3
259,Super built-up  Area,Not Ready to Move Yet,9th Phase JP Nagar,1522.0,3.0,2.0,90.0,3
262,Built-up  Area,Ready To Move,9th Phase JP Nagar,890.0,2.0,2.0,45.0,2
265,Super built-up  Area,Not Ready to Move Yet,9th Phase JP Nagar,1050.0,2.0,2.0,35.0,2
266,Super built-up  Area,Ready To Move,9th Phase JP Nagar,1331.95,2.0,2.0,69.0,2
267,Super built-up  Area,Ready To Move,Abbigere,985.0,2.0,1.0,40.39,2
268,Built-up  Area,Ready To Move,Abbigere,2200.0,6.0,2.0,68.0,6
269,Super built-up  Area,Ready To Move,Abbigere,765.0,2.0,2.0,30.0,1
270,Super built-up  Area,Not Ready to Move Yet,Abbigere,880.0,2.0,1.0,35.0,2
271,Super built-up  Area,Ready To Move,Abbigere,795.0,2.0,1.0,32.54,2
272,Super built-up  Area,Ready To Move,Abbigere,1005.0,2.0,1.0,39.59,2
273,Super built-up  Area,Not Ready to Move Yet,Abbigere,734.0,1.0,0.0,19.82,1
275,Super built-up  Area,Ready To Move,Abbigere,1020.0,2.0,1.0,41.82,2
276,Super built-up  Area,Ready To Move,Abbigere,985.0,2.0,1.0,40.39,2
277,Built-up  Area,Ready To Move,Abbigere,2500.0,6.0,0.0,81.0,6
278,Super built-up  Area,Ready To Move,Abbigere,795.0,2.0,1.0,32.54,2
279,Super built-up  Area,Ready To Move,Abbigere,1130.0,2.0,1.0,46.33,2
280,Super built-up  Area,Ready To Move,Abbigere,795.0,1.0,1.0,32.6,2
281,Built-up  Area,Ready To Move,Abbigere,3000.0,8.0,0.0,150.0,8
282,Super built-up  Area,Ready To Move,Abbigere,985.0,2.0,1.0,38.92,2
283,Super built-up  Area,Ready To Move,Abbigere,1000.0,2.0,1.0,41.0,2
284,Super built-up  Area,Ready To Move,Abbigere,995.0,2.0,1.0,40.8,2
285,Super built-up  Area,Ready To Move,Abbigere,1020.0,2.0,1.0,40.8,2
286,Super built-up  Area,Ready To Move,Akshaya Nagar,1388.0,2.0,3.0,57.0,2
287,Super built-up  Area,Ready To Move,Akshaya Nagar,1070.0,2.0,1.0,54.0,2
288,Built-up  Area,Ready To Move,Akshaya Nagar,1662.0,3.0,3.0,85.1,3
289,Super built-up  Area,Ready To Move,Akshaya Nagar,1897.0,3.0,2.0,120.0,3
290,Super built-up  Area,Ready To Move,Akshaya Nagar,1410.0,2.0,2.0,75.0,3
291,Super built-up  Area,Not Ready to Move Yet,Akshaya Nagar,1360.0,2.0,2.0,85.0,3
293,Super built-up  Area,Ready To Move,Akshaya Nagar,1410.0,2.0,2.0,80.0,3
294,Built-up  Area,Ready To Move,Akshaya Nagar,1662.0,3.0,2.0,85.0,3
295,Plot  Area,Ready To Move,Akshaya Nagar,1080.0,4.0,1.0,75.0,4
296,Built-up  Area,Ready To Move,Akshaya Nagar,1662.0,3.0,2.0,85.5,3
297,Built-up  Area,Ready To Move,Akshaya Nagar,1280.0,2.0,1.0,60.0,2
298,Super built-up  Area,Ready To Move,Akshaya Nagar,1430.0,2.0,2.0,75.0,3
299,Built-up  Area,Ready To Move,Akshaya Nagar,1419.0,2.0,3.0,73.0,3
300,Super built-up  Area,Ready To Move,Akshaya Nagar,1280.0,2.0,1.0,60.0,2
301,Super built-up  Area,Ready To Move,Akshaya Nagar,1200.0,2.0,1.0,50.0,2
302,Super built-up  Area,Not Ready to Move Yet,Akshaya Nagar,1092.0,2.0,1.0,60.0,2
303,Super built-up  Area,Ready To Move,Akshaya Nagar,1690.0,3.0,2.0,85.0,3
305,Super built-up  Area,Ready To Move,Akshaya Nagar,1897.0,4.0,2.0,93.0,3
306,Super built-up  Area,Ready To Move,Akshaya Nagar,1884.0,3.0,3.0,98.0,3
307,Super built-up  Area,Ready To Move,Akshaya Nagar,1314.0,2.0,2.0,68.8,2
308,Super built-up  Area,Ready To Move,Akshaya Nagar,1690.0,3.0,2.0,85.0,3
309,Super built-up  Area,Ready To Move,Akshaya Nagar,1265.0,2.0,3.0,67.0,2
310,Super built-up  Area,Ready To Move,Akshaya Nagar,1126.0,2.0,1.0,55.0,2
312,Super built-up  Area,Ready To Move,Akshaya Nagar,1420.0,2.0,2.0,75.0,3
313,Super built-up  Area,Ready To Move,Akshaya Nagar,1412.0,2.0,3.0,88.0,3
314,Built-up  Area,Ready To Move,Akshaya Nagar,1434.0,3.0,3.0,84.0,3
315,Super built-up  Area,Ready To Move,Akshaya Nagar,1890.0,4.0,2.0,100.0,3
317,Super built-up  Area,Ready To Move,Akshaya Nagar,1419.0,2.0,3.0,87.0,3
318,Super built-up  Area,Ready To Move,Akshaya Nagar,1300.0,2.0,1.0,54.0,2
319,Super built-up  Area,Ready To Move,Akshaya Nagar,1690.0,3.0,2.0,85.0,3
320,Super built-up  Area,Ready To Move,Akshaya Nagar,1113.0,2.0,1.0,52.0,2
321,Super built-up  Area,Ready To Move,Akshaya Nagar,1820.0,4.0,2.0,95.0,3
322,Super built-up  Area,Ready To Move,Akshaya Nagar,1100.0,2.0,2.0,48.0,2
323,Super built-up  Area,Ready To Move,Akshaya Nagar,1896.0,3.0,2.0,102.0,3
324,Super built-up  Area,Ready To Move,Akshaya Nagar,1300.0,2.0,2.0,66.0,2
325,Super built-up  Area,Ready To Move,Akshaya Nagar,1225.0,2.0,0.0,68.0,2
326,Super built-up  Area,Ready To Move,Akshaya Nagar,1179.0,2.0,1.0,51.0,2
327,Super built-up  Area,Ready To Move,Akshaya Nagar,1421.0,2.0,2.0,73.0,3
328,Super built-up  Area,Ready To Move,Akshaya Nagar,1893.0,4.0,2.0,95.0,3
329,Built-up  Area,Ready To Move,Akshaya Nagar,900.0,2.0,1.0,45.0,2
330,Super built-up  Area,Ready To Move,Ambalipura,1105.0,2.0,1.0,75.0,2
331,Super built-up  Area,Ready To Move,Ambalipura,1800.0,3.0,3.0,110.0,3
332,Built-up  Area,Ready To Move,Ambalipura,1150.0,2.0,2.0,80.0,2
333,Super built-up  Area,Ready To Move,Ambalipura,1250.0,2.0,2.0,66.25,2
